NPMS_broad_habitat,NPMS_fine-scale_habitat
Arable margins,Arable field margins
Bog and wet heath,Blanket bog
Bog and wet heath,Raised bog
Bog and wet heath,Wet heath
"Broadleaved woodland, hedges and scrub",Dry deciduous woodland
"Broadleaved woodland, hedges and scrub",Hedgerows of native species
"Broadleaved woodland, hedges and scrub",Wet woodland
"Broadleaved woodland, hedges and scrub",Broadleaved woodland
Coast,Coastal saltmarsh
Coast,Coastal sand dunes
Coast,Coastal vegetated shingle
Coast,Machair
Coast,Maritime cliffs and slopes
Freshwater,Nutrient-poor lakes and ponds
Freshwater,Nutrient-rich lakes and ponds
Freshwater,Rivers and streams
Heathland,Dry heathland
Heathland,Montane dry heathland
Lowland grassland,Dry acid grassland
Lowland grassland,Dry calcareous grassland
Lowland grassland,Neutral damp grassland
Lowland grassland,Neutral pastures and meadows
Marsh and fen,Acid fens
Marsh and fen,Base-rich fens
Upland grassland,Montane acid grassland
Upland grassland,Montane calcareous grassland
Native pinewood and juniper scrub,Native conifer woods and juniper scrub
"Rock outcrops, cliffs and scree",Inland rocks and scree
"Rock outcrops, cliffs and scree",Montane rocks and scree
"Rock outcrops, cliffs and scree",Rock outcrops
Marsh and fen,"Acid fens, mires and springs"
Marsh and fen,"Base-rich fens, mires and springs"
Not in scheme,Not in scheme
